,v,diff,date,dt,event,time_elapsed,pos
0,6632,0.0021715535135079325,2019-11-07 06:31:13.839795,3.2229784,1,0.0,1
1,4566,0.00585935336082207,2019-11-07 06:38:21.333419,4.27493624,1,4.27493624,1
2,3672,0.005805730146422495,2019-11-07 06:41:09.165680,1.67832261,1,5.953258849999999,1
3,4403,0.0012271971775748673,2019-11-07 06:49:25.570515,4.96404835,0,10.9173072,1
4,6847,0.0006227619693722941,2019-11-07 06:51:51.027368,1.45456853,0,12.37187573,1
5,4416,0.0033019356017481437,2019-11-07 06:56:12.155756,2.61128388,1,14.98315961,1
6,6325,0.00027151252033461633,2019-11-07 07:00:03.196571,2.31040815,0,17.29356776,0
7,7100,0.0027505005040416638,2019-11-07 07:08:02.511769,4.79315198,1,22.08671974,1
8,8945,0.00150762538945181,2019-11-07 07:10:40.307234,1.5779546500000001,1,23.66467439,1
9,7875,0.0011581671371416978,2019-11-07 07:16:04.493362,3.24186128,0,26.906535669999997,1
10,4247,0.0002894160568933969,2019-11-07 07:24:12.738921,4.88245559,0,31.788991259999996,0
11,8522,0.0022167188159060583,2019-11-07 07:28:25.993401,2.5325448,1,34.32153606,1
12,7378,0.002390408664171125,2019-11-07 07:34:28.535984,3.6254258299999997,1,37.94696189,0
13,4249,0.0020052451575029526,2019-11-07 07:39:11.085601,2.82549617,1,40.77245806,1
14,10379,0.0009241433079739271,2019-11-07 07:41:02.082872,1.10997271,0,41.88243077,1
15,17948,0.000384807793258175,2019-11-07 07:48:14.637105,4.32554233,0,46.2079731,1
16,7240,0.0009998078125680527,2019-11-07 07:52:17.822304,2.43185199,0,48.639825089999995,1
17,7872,0.0005379442973146464,2019-11-07 07:59:41.162784,4.4334048,0,53.07322988999999,1
18,9482,0.00211055547559242,2019-11-07 08:01:59.006281,1.37843497,1,54.451664859999994,1
19,3100,0.0013041812358721315,2019-11-07 08:08:26.338880,3.87332599,0,58.32499084999999,0
20,7557,0.0004223054098656659,2019-11-07 08:14:53.003650,3.8666476999999997,0,62.19163854999999,0
21,5044,0.0007485102118065926,2019-11-07 08:18:32.238209,2.19234559,0,64.38398414,1
22,6186,0.0002110615444109317,2019-11-07 08:20:53.163782,1.4092557300000002,0,65.79323987,0
23,3922,0.00011514325753004065,2019-11-07 08:26:23.605145,3.3044136300000004,0,69.09765349999999,0
24,4446,0.0008832057099282362,2019-11-07 08:30:28.461561,2.44856416,0,71.54621766,0
25,2540,0.00015368065190846236,2019-11-07 08:36:10.356564,3.4189500299999995,0,74.96516769,0
26,2300,0.0015381068940208478,2019-11-07 08:42:16.545180,3.6618861600000003,1,78.62705385,0
27,3100,0.0003464003267708583,2019-11-07 08:47:05.395964,2.88850784,0,81.51556169,0
28,7363,0.0011542014208393173,2019-11-07 08:53:37.837297,3.9244133299999997,0,85.43997501999999,1
29,3800,0.0024194953907973374,2019-11-07 08:57:16.579143,2.18741846,1,87.62739348,1
30,3300,0.002188814882277209,2019-11-07 09:01:35.328107,2.58748964,1,90.21488312,0
31,4975,0.00038434930137239983,2019-11-07 09:05:35.428456,2.40100349,0,92.61588660999999,1
32,3900,0.001115020205108764,2019-11-07 09:14:51.166121,5.55737665,0,98.17326325999998,0
33,5194,0.0007312051741055321,2019-11-07 09:16:23.264226,0.9209810500000001,0,99.09424430999998,0
34,2200,0.0007312051741056317,2019-11-07 09:24:36.609508,4.93345282,0,104.02769712999998,1
35,3107,3.84696762824507e-05,2019-11-07 09:27:31.443886,1.74834378,0,105.77604090999998,1
36,7398,0.0004232478564117324,2019-11-07 09:34:17.674600,4.06230714,0,109.83834804999998,0
37,3476,0.0018104432825898351,2019-11-07 09:35:44.863082,0.8718848199999999,1,110.71023286999998,0
38,1700,0.0005784916954940417,2019-11-07 09:40:39.224846,2.94361764,0,113.65385050999998,0
39,5520,0.0020040086867150406,2019-11-07 09:48:52.409686,4.9318484,1,118.58569890999999,1
40,2430,0.001194213983250755,2019-11-07 09:51:49.408122,1.76998436,0,120.35568326999999,0
41,2467,0.0004624455745444607,2019-11-07 09:57:07.423692,3.1801557000000003,0,123.53583896999999,1
42,1636,7.705941284554854e-05,2019-11-07 10:01:52.439220,2.85015528,0,126.38599424999998,0
43,4200,0.0005778009058886252,2019-11-07 10:05:37.209789,2.24770569,0,128.63369993999999,1
44,3995,0.00023102691566319957,2019-11-07 10:12:13.414053,3.9620426400000004,0,132.59574257999998,1
45,2800,0.0013098587996008472,2019-11-07 10:19:07.487917,4.14073864,0,136.73648121999997,0
46,2300,0.0,2019-11-07 10:21:00.641547,1.1315363,0,137.86801751999997,0
47,3055,0.0009055266641283908,2019-11-07 10:26:53.154651,3.5251310399999998,0,141.39314855999996,1
48,1300,0.0005198255813476895,2019-11-07 10:30:09.066118,1.95911467,0,143.35226322999995,1
49,4303,0.0005390835710067658,2019-11-07 10:37:30.786736,4.41720618,0,147.76946940999994,0
50,3300,7.70297335150732e-05,2019-11-07 10:44:47.214183,4.36427447,0,152.13374387999994,1
51,1502,0.0012316694524985446,2019-11-07 10:49:12.864734,2.65650551,0,154.79024938999993,1
