,v,diff,date,dt,event,time_elapsed,pos
0,80651,0.0001813236632348319,2020-04-22 06:31:52.517478,2.67579132,0,0.0,1
1,167576,0.0008155498617045529,2020-04-22 06:38:01.876388,3.6935890999999996,0,3.6935890999999996,1
2,153397,0.007804609575084395,2020-04-22 06:40:01.153346,1.19276958,1,4.88635868,1
3,77605,0.0010330347434430868,2020-04-22 06:47:28.976394,4.47823048,0,9.36458916,1
4,72192,0.0018836620360874828,2020-04-22 06:50:52.701374,2.0372497999999997,0,11.40183896,1
5,96035,0.004916650497916604,2020-04-22 06:57:24.695690,3.9199431600000003,1,15.32178212,1
6,38737,0.003483857201848247,2020-04-22 07:02:21.034589,2.9633889900000003,1,18.28517111,0
7,48354,0.0006262021048209663,2020-04-22 07:07:57.768282,3.36733693,0,21.65250804,1
8,30986,0.0017901902382116682,2020-04-22 07:11:25.612267,2.07843985,0,23.73094789,0
9,47862,0.003666447210344424,2020-04-22 07:17:13.268760,3.4765649300000003,1,27.207512819999998,1
10,27074,0.0021399919000561433,2020-04-22 07:21:13.839769,2.40571009,0,29.613222909999998,1
11,33668,0.0002671772737093078,2020-04-22 07:28:09.720709,4.1588094,0,33.77203231,1
12,30447,0.003210848281183967,2020-04-22 07:33:26.402610,3.1668190099999998,1,36.93885132,0
13,73626,0.003210848281183995,2020-04-22 07:39:43.329152,3.76926542,1,40.708116739999994,1
14,46077,0.003733005846027325,2020-04-22 07:42:37.669225,1.7434007299999998,1,42.45151746999999,1
15,77981,0.0020383753235875606,2020-04-22 07:45:31.967513,1.7429828800000002,0,44.19450034999999,1
16,75325,0.0015062245349762424,2020-04-22 07:50:17.383929,2.8541641600000003,0,47.048664509999995,0
17,59410,0.0046001496549245464,2020-04-22 07:59:17.371407,5.39987478,1,52.44853928999999,1
18,55460,0.0004414036708171687,2020-04-22 08:04:48.091266,3.30719859,0,55.75573787999999,0
19,45986,0.001940720439754595,2020-04-22 08:08:17.581841,2.09490575,0,57.85064362999999,1
20,91991,0.00017627357704727488,2020-04-22 08:11:18.752163,1.81170322,0,59.66234684999999,0
21,64185,0.0027287548290801074,2020-04-22 08:16:06.649273,2.8789711,0,62.54131794999999,1
22,72981,0.002019759193756451,2020-04-22 08:22:57.671421,4.11022148,0,66.65153942999999,1
23,94265,0.0010532784261734441,2020-04-22 08:25:02.044632,1.24373211,0,67.89527153999998,0
24,99038,0.0027187037135994615,2020-04-22 08:32:17.695698,4.3565106600000005,0,72.25178219999998,1
25,71820,0.00131457886684616,2020-04-22 08:39:29.254723,4.3155902500000005,0,76.56737244999998,0
26,66538,0.002321253642744537,2020-04-22 08:43:17.220446,2.2796572299999998,0,78.84702967999998,1
27,35965,0.000831528090101629,2020-04-22 08:46:27.103473,1.89883027,0,80.74585994999998,0
28,39616,0.002016041354266007,2020-04-22 08:52:12.463532,3.4536005899999997,0,84.19946053999998,0
29,46863,0.0009647007983419604,2020-04-22 08:59:48.025250,4.55561718,0,88.75507771999997,1
30,32565,0.002538850127139648,2020-04-22 09:02:56.618997,1.88593747,0,90.64101518999998,1
31,75607,0.0002623409573001962,2020-04-22 09:09:21.806065,3.85187068,0,94.49288586999998,0
32,80868,0.0037536598567516804,2020-04-22 09:13:26.536266,2.44730201,1,96.94018787999998,1
33,145390,0.0015671255166137224,2020-04-22 09:19:15.792543,3.49256277,0,100.43275064999999,1
34,191332,0.0003480379396482982,2020-04-22 09:21:23.109786,1.27317243,0,101.70592307999999,0
35,110217,0.0006964394814443609,2020-04-22 09:25:37.794573,2.54684787,0,104.25277094999998,0
36,107983,8.708146476524304e-05,2020-04-22 09:32:46.863815,4.29069242,0,108.54346336999998,1
37,64886,0.0007833921278040774,2020-04-22 09:35:08.661172,1.41797357,0,109.96143693999998,1
38,62832,0.00091318250426485,2020-04-22 09:41:59.288313,4.10627141,0,114.06770834999999,1
39,47942,0.0019540161235881703,2020-04-22 09:45:02.762718,1.8347440499999998,0,115.90245239999999,1
40,46973,0.0018236295271454456,2020-04-22 09:50:23.403117,3.20640399,0,119.10885638999999,0
41,78009,0.0006086162862300104,2020-04-22 09:59:08.458110,5.25054993,0,124.35940631999999,0
42,62078,0.0010442047589944124,2020-04-22 10:00:08.063048,0.59604938,0,124.95545569999999,0
43,26668,0.0005225115506844877,2020-04-22 10:07:28.088319,4.40025271,0,129.35570840999998,0
44,24292,0.0004354452496412933,2020-04-22 10:12:03.376971,2.75288652,0,132.10859492999998,1
45,52901,0.0023481334440052545,2020-04-22 10:17:36.326211,3.3294924,0,135.43808732999997,1
46,93123,0.0009125079391302536,2020-04-22 10:21:12.670104,2.16343893,0,137.60152625999999,0
47,33187,0.00013042627673212203,2020-04-22 10:29:47.739068,5.15068964,0,142.75221589999998,0
48,57700,0.0015664436237594083,2020-04-22 10:32:57.775253,1.90036185,0,144.65257774999998,0
49,38666,0.0001742008540247065,2020-04-22 10:39:55.840693,4.1806544,0,148.83323215,0
50,38309,0.0020014800224530172,2020-04-22 10:42:02.536205,1.26695512,0,150.10018727,1
51,32602,0.0010426623587753518,2020-04-22 10:46:29.885855,2.6734965,0,152.77368377,1
52,35162,0.00121654516220422,2020-04-22 10:52:09.227827,3.39341972,0,156.16710349,0
53,46840,0.0001738828034289744,2020-04-22 10:57:12.078557,3.0285073,0,159.19561079,1
54,22740,0.0022628382153419965,2020-04-22 11:04:12.509286,4.20430729,0,163.39991808,0
55,28492,0.0007844846774077575,2020-04-22 11:09:17.317500,3.04808214,0,166.44800021999998,0
