,date,epsActual,epsEstimate,hour,quarter,revenueActual,revenueEstimate,symbol,year
65,2020-05-06,1.58,1.5461686000000001,bmo,1,1729000000,1766099999,GPN,2020
66,2020-02-12,1.62,1.8570970999999998,bmo,4,1804000000,2172100000,GPN,2019
67,2019-10-31,1.7,1.6821751999999999,bmo,3,1305786000,1178976335,GPN,2019
68,2020-07-29,0.82,0.7141734,amc,2,4000000000,3887449999,CTSH,2020
69,2020-05-07,0.96,0.9428676,amc,1,4225000000,4283299999,CTSH,2020
70,2020-02-05,1.07,0.8914392000000001,amc,4,4284000000,4293449999,CTSH,2019
71,2019-10-30,1.08,1.0727034000000002,amc,3,4248000000,4276093185,CTSH,2019
72,2020-08-19,1.74,1.0063116,amc,3,964134000,907531799,SNPS,2020
73,2020-05-20,1.22,0.938808,amc,2,861327000,849839199,SNPS,2020
74,2020-02-19,1.01,1.7259216000000002,amc,1,834381000,833934149,SNPS,2020
75,2019-12-04,1.15,1.14852,amc,4,851081000,860044913,SNPS,2019
76,2020-07-20,0.66,0.5326542000000001,amc,2,638418000,601681850,CDNS,2020
77,2020-04-20,0.6,0.5530746,amc,1,617957000,622611149,CDNS,2020
78,2020-02-12,0.54,0.6943242000000001,amc,4,599555000,604351300,CDNS,2019
79,2019-10-21,0.54,0.5200980000000001,amc,3,579603000,585014230,CDNS,2019
80,2020-08-27,0.49,0.44649069999999996,amc,3,14294000000,13509649999,HPQ,2020
81,2020-05-27,0.51,0.54742,amc,2,12469000000,13042749999,HPQ,2020
82,2020-02-24,0.65,0.5105246999999999,amc,1,14618000000,14849449999,HPQ,2020
83,2019-11-26,0.6,0.5835679,amc,4,15407000000,15480067784,HPQ,2019
84,2020-08-05,1.55,1.1871984,amc,2,389701000,359715999,ANSS,2020
85,2020-05-06,0.83,0.8137254,amc,1,308897000,315492449,ANSS,2020
86,2020-02-26,2.24,2.6033562,amc,4,492493000,476451149,ANSS,2019
87,2019-11-07,1.42,1.2896471999999999,bmo,3,345495000,338983143,ANSS,2019
88,2020-07-07,0.61,0.6141012,bmo,4,951100000,924573649,PAYX,2020
89,2020-03-25,0.97,0.6501684,bmo,3,1143000000,1157100000,PAYX,2020
90,2019-12-18,0.7,0.6972516,bmo,2,990700000,1002468535,PAYX,2020
91,2019-10-02,0.71,0.6985878,bmo,1,992000000,1005993468,PAYX,2020
92,2020-08-06,2.28,2.26139,amc,2,525146000,543623850,FLT,2020
93,2020-05-07,3.0,2.8573405000000003,amc,1,661093000,660064649,FLT,2020
94,2020-02-06,3.17,3.1723190999999997,amc,4,698881000,716133249,FLT,2019
95,2019-11-06,3.1,3.08353,amc,3,681048000,689905710,FLT,2019
96,2020-07-23,1.32,1.29846,amc,2,314365000,317339749,VRSN,2020
97,2020-04-23,1.42,1.3025400000000003,amc,1,312524000,313888749,VRSN,2020
98,2020-02-06,1.31,1.275,amc,4,310543000,314903749,VRSN,2019
99,2019-10-24,1.36,1.3379033999999999,amc,3,308421000,312924499,VRSN,2019
